Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
-,,SW-SMD_L3.9-W3.0-P4.45,26.289,-26.3845,0.0,top
1V2,,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,2.032,-33.5105,-90.0,top
1V8,,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,33.02,-14.859,90.0,top
C,,SW-SMD_L3.9-W3.0-P4.45,31.369,-26.3845,90.0,top
C1,,C0402-NSK,17.665,-23.972,-90.0,top
C10,,C0402-NSK,38.077,-34.186,270.0,bottom
C11,,C0402-NSK,18.7325,-37.338,180.0,bottom
C12,,C0402-NSK,18.7325,-34.671,180.0,bottom
C13,,C0402-NSK,6.2865,-27.305,-90.0,top
C14,,C0402-NSK,9.3345,-27.3685,-90.0,top
C15,,C0603_NSK,22.4155,-25.5905,270.0,bottom
C16,,C0402-NSK,36.9945,-30.819,0.0,top
C17,,C0603_NSK,13.208,-31.0515,90.0,bottom
C18,,C0402-NSK,36.9945,-31.8135,180.0,top
C19,,C0603_NSK,5.7785,-37.5285,180.0,bottom
C2,,C0402-NSK,22.9235,-24.257,-90.0,top
C20,,C0402-NSK,2.159,-34.9885,180.0,bottom
C21,,C0603_NSK,32.7025,-10.922,0.0,top
C22,,C0402-NSK,32.639,-12.319,180.0,top
C23,,C0402-NSK,11.176,-27.305,-90.0,top
C24,,C0402-NSK,8.3185,-27.3685,-90.0,top
C25,,C0402-NSK,12.954,-24.257,180.0,top
C26,,C0402-NSK,12.954,-23.368,180.0,top
C27,,C0402-NSK,12.954,-22.479,180.0,top
C28,,C0402-NSK,12.954,-26.035,180.0,top
C29,,C0402-NSK,12.954,-25.146,180.0,top
C3,,C0402-NSK,11.3665,-33.0835,270.0,bottom
C30,,C0805,23.0505,-11.7475,270.0,bottom
C31,,C0805,20.193,-11.7475,270.0,bottom
C32,,C0805,15.748,-11.7475,270.0,bottom
C33,,C0603_NSK,30.988,-20.447,180.0,bottom
C4,,C0402-NSK,6.6675,-34.6075,270.0,bottom
C5,,C0402-NSK,24.5745,-28.702,0.0,top
C6,,C0402-NSK,4.7625,-35.052,270.0,bottom
C7,,C0603_NSK,8.4455,-38.354,180.0,bottom
C8,,C0603_NSK,36.3375,-34.186,90.0,bottom
C9,,C0402-NSK,8.4455,-37.338,0.0,bottom
CN1,,CONN-SMD_DF12-50DS-0.5V,8.7,-19.4,90.0,bottom
DM3,,Test-Point-0.5mm,17.8555,-27.5355,-90.0,top
DM4,,Test-Point-0.5mm,19.7845,-26.3845,180.0,top
DP3,,Test-Point-0.5mm,17.8555,-28.345,-90.0,top
DP4,,Test-Point-0.5mm,18.848,-26.3845,180.0,top
F,,SW-SMD_L3.9-W3.0-P4.45,31.369,-21.336,0.0,top
FPC1,,FPC-SMD_40P-P0.50_XUNPU_FPC-05FB-40PH20,20.0,-3.2155,180.0,top
G1IN,,Test-Point-0.5mm,10.2485,-25.103,0.0,top
L1,,L0603_NSK,13.9065,-29.2735,180.0,top
L2,,L0603_NSK,4.6355,-38.354,-90.0,top
L3,,L0603_NSK,14.0335,-27.2415,180.0,bottom
M,,SW-SMD_L3.9-W3.0-P4.45,31.369,-31.4325,0.0,top
PG,,LED0603-RD,27.1145,-32.893,-90.0,top
R1,,R0402-NSK,18.034,-30.7975,0.0,top
R10,,R0402-NSK,18.7275,-35.564,0.0,bottom
R11,,R0402-NSK,2.6035,-29.845,90.0,top
R12,,R0402-NSK,3.683,-29.845,-90.0,top
R13,,R0402-NSK,1.524,-29.845,90.0,top
R14,,R0402-NSK,14.0335,-28.2575,180.0,top
R15,,R0402-NSK,9.3345,-25.2095,-90.0,top
R2,,R0402-NSK,22.9235,-30.7975,180.0,top
R21,,R0402-NSK,13.0175,-12.3825,180.0,bottom
R23,,R0402-NSK,17.78,-12.3825,180.0,bottom
R25,,R0402-NSK,24.9555,-12.3825,180.0,bottom
R27,,R0402-NSK,30.9245,-11.43,-90.0,top
R28,,R0402-NSK,30.9245,-13.335,90.0,top
R29,,R0402-NSK,30.9245,-15.24,90.0,top
R30,,R0402-NSK,36.449,-26.416,90.0,bottom
R34,,R0402-NSK,4.4265,-23.094,0.0,bottom
R35,,R0402-NSK,4.4265,-21.9295,0.0,bottom
R36,,R0402-NSK,13.888,-26.0535,180.0,bottom
R37,,R0402-NSK,13.888,-25.1645,180.0,bottom
R38,,R0402-NSK,13.888,-24.2755,180.0,bottom
R39,,R0402-NSK,13.888,-23.3865,180.0,bottom
R4,,R0402-NSK,4.4265,-24.041,180.0,bottom
R40,,R0402-NSK,13.888,-22.4975,180.0,bottom
R41,,R0402-NSK,14.0335,-28.448,180.0,bottom
R43,,R0402-NSK,12.065,-27.305,90.0,top
R44,,R0402-NSK,7.3025,-27.305,90.0,top
R45,,R0402-NSK,26.2255,-24.0665,180.0,top
R49,,R0402-NSK,29.337,-22.987,270.0,bottom
R5,,R0402-NSK,4.4265,-21.0565,180.0,bottom
R53,,R0402-NSK,31.369,-30.607,270.0,bottom
R57,,R0402-NSK,31.369,-26.2255,0.0,bottom
R58,,R0603,14.605,-18.0975,0.0,top
R59,,R0402-NSK,7.1755,-25.0825,180.0,top
R6,,R0402-NSK,27.559,-28.702,0.0,top
R7,,R0402-NSK,26.67,-30.7975,0.0,top
R8,,R0402-NSK,10.8585,-37.211,0.0,bottom
R9,,R0402-NSK,18.7325,-36.449,0.0,bottom
RTS#,,Test-Point-0.5mm,24.224,-31.4795,0.0,top
THM_PWR,,LED0603-RD,7.112,-23.495,180.0,top
U1,,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL_1,9.144,-33.782,180.0,top
U10,,SOP-8_L5.0-W4.0-P1.27-LS6.0-BL,3.429,-29.6545,180.0,bottom
U11,,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,28.8925,-15.026,270.0,bottom
U2,,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,26.162,-27.305,0.0,bottom
U3,,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,20.3835,-28.6385,180.0,top
U4,,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,30.6875,-35.202,180.0,bottom
U7,,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,12.319,-13.589,0.0,top
U8,,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,19.558,-13.589,0.0,top
U9,,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,26.797,-13.589,0.0,top
USB1,,USB-C-SMD_TYPE-C-6PIN-2MD-073,20.5105,-35.0365,0.0,top
X1,,CRYSTAL-SMD_4P-L3.2-W2.5-BL,20.193,-24.0665,180.0,top
X2,,CRYSTAL-SMD_4P-L3.2-W2.5-BL,9.099,-33.7115,90.0,bottom
